#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2017-09-06T20:41:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ59b05d086866	
#INFO	-out.max=1000	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:J/A+A/559/A43&tab:{J/A+A/559/A43/table6}&key:source=J/A+A/559/A43/table6&HTTPPRM:&&-ref=VIZ59b05d086866&-out.max=1000&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-out.src=J/A+A/559/A43/table6&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Seq&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=plx&-out=rc&-out=RV&-out=Vpar&-out=Vperp&Vperp=< 2 & >-2&-out=M&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Kmag&-out=e_Kmag&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-sort=_r
#-order=I
#-out.src=J/A+A/559/A43/table6
#-sort=_r
#-source=J/A+A/559/A43/table6
#-order=I
#-out=Seq
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=plx
#-out=rc
#-out=RV
#-out=Vpar
#-out=Vperp
#Vperp=< 2 & >-2
#-out=M
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#

#RESOURCE=yCat_35590043
#Name: J/A+A/559/A43
#Title: Pan-STARRS1 (PS1) observations of the Hyades (Goldman+, 2013)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_559_A43_table6:
#Name: J/A+A/559/A43/table6
#Title: Photometric and kinematic parameters for 773 Hyades member candidates
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Seq	(I8)	Identifier (Seq<=724 ix from Roeser et al. 2011, J/A+A/531/A92)	[ucd=meta.id]
#Column	RAJ2000	(F11.7)	PPMXL Right Ascension (J2000.0, epoch 2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	PPMXL Declination (J2000.0, epoch 2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F6.2)	PPMXL Proper Motion in RA*cos(DEdeg)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	PPMXL Proper Motion in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	plx	(F5.2)	Secular parallax	[ucd=pos.parallax]
#Column	rc	(F5.2)	[0/30] Distance from the cluster centre	[ucd=phys.size.radius]
#Column	RV	(F5.2)	[16/46] Predicted radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Vpar	(F5.2)	[5/43] Tangential velocity in direction of the convergent point	[ucd=phys.veloc.transverse]
#Column	Vperp	(F5.2)	[-5/4] Tangential velocity in direction perpendicular to the convergent point	[ucd=phys.veloc.transverse]
#Column	M	(F5.2)	[0.09/2.6] Mass of the star	[ucd=phys.mass]
#Column	Jmag	(F6.3)	2MASS J band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F6.3)	Error of Jmag	[ucd=stat.error;phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	2MASS H band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F6.3)	Error of Hmag	[ucd=stat.error;phot.mag;em.IR.H]
#Column	Kmag	(F6.3)	2MASS Ks band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F6.3)	Error of Kmag	[ucd=stat.error;phot.mag;em.IR.K]
_RAJ2000	_DEJ2000	Seq	RAJ2000	DEJ2000	pmRA	pmDE	plx	rc	RV	Vpar	Vperp	M	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag
deg	deg	 	deg	deg	mas/yr	mas/yr	mas	pc	km/s	km/s	km/s	Msun	mag	mag	mag	mag	mag	mag
----------	----------	--------	-----------	-----------	------	-------	-----	-----	-----	-----	-----	-----	------	------	------	------	------	------
028.336420	+23.444762	       1	028.3364200	+23.4447625	210.59	  -9.17	23.65	28.32	16.57	42.26	-0.33	 0.59	 9.300	 0.020	 8.674	 0.033	 8.405	 0.023
029.172891	+30.476346	       2	029.1728906	+30.4763461	211.99	 -13.18	23.87	28.42	16.79	42.17	 1.23	 0.18	11.917	 0.023	11.305	 0.032	11.029	 0.021
030.597959	+37.496319	       3	030.5979594	+37.4963192	246.54	 -37.75	28.10	28.67	17.02	42.08	 0.13	 0.38	10.081	 0.028	 9.477	 0.034	 9.257	 0.020
030.869529	+21.571356	       4	030.8695289	+21.5713561	348.33	  -6.60	39.77	29.31	18.33	41.52	 0.86	 0.13	11.661	 0.023	11.033	 0.024	10.714	 0.018
032.806899	+20.972853	       5	032.8068994	+20.9728531	258.38	 -13.08	29.97	25.64	19.65	40.92	-0.11	 0.18	11.405	 0.021	10.839	 0.022	10.528	 0.018
032.846452	+21.377348	       6	032.8464525	+21.3773478	275.08	 -11.75	31.90	26.15	19.66	40.91	 0.36	 1.09	 6.117	 0.023	 5.851	 0.018	 5.786	 0.020
033.120560	+28.995777	       7	033.1205603	+28.9957775	187.15	 -21.91	21.76	26.59	19.38	41.04	 0.01	 0.15	12.443	 0.023	11.879	 0.022	11.613	 0.021
033.466903	-03.516534	       8	033.4669031	-03.5165336	250.98	  31.44	29.13	29.14	19.16	41.15	-1.29	 0.17	11.693	 0.024	11.099	 0.022	10.801	 0.023
033.735784	+03.786084	       9	033.7357839	+03.7860836	191.74	  14.07	22.36	27.57	20.01	40.74	-0.92	 0.43	10.281	 0.027	 9.729	 0.026	 9.465	 0.023
034.727638	+35.218231	      11	034.7276381	+35.2182311	198.72	 -36.09	23.41	26.44	19.67	40.90	 0.21	 0.64	 8.992	 0.024	 8.309	 0.044	 8.145	 0.026
036.410168	+37.542758	      13	036.4101675	+37.5427578	282.75	 -70.13	34.00	27.47	20.28	40.61	-0.78	 0.38	 9.712	 0.022	 9.103	 0.023	 8.842	 0.016
036.448107	+24.589942	      14	036.4481072	+24.5899417	209.66	 -23.42	25.12	22.94	21.81	39.80	-0.17	 0.22	11.384	 0.020	10.798	 0.022	10.545	 0.019
036.640190	+15.373467	      16	036.6401900	+15.3734675	164.54	   4.72	19.73	24.88	22.34	39.51	 1.88	 0.88	 8.071	 0.065	 7.687	 0.034	 7.558	 0.017
036.910704	+17.672415	      17	036.9107044	+17.6724147	166.54	  -9.91	20.05	24.20	22.47	39.44	-0.65	 0.48	10.321	 0.026	 9.747	 0.024	 9.413	 0.018
038.763451	+41.078280	      18	038.7634508	+41.0782800	176.56	 -55.82	21.78	27.34	20.90	40.29	-0.88	 0.26	11.373	 0.020	10.797	 0.020	10.522	 0.016
039.738113	+35.201156	      19	039.7381131	+35.2011558	191.61	 -51.64	23.85	23.67	22.48	39.43	-0.80	 0.21	11.621	 0.020	11.023	 0.024	10.728	 0.020
040.289621	+39.603220	      20	040.2896211	+39.6032200	164.28	 -48.55	20.45	26.89	21.97	39.72	 0.17	 0.23	11.752	 0.018	11.165	 0.017	10.914	 0.018
040.351351	+17.479055	      21	040.3513506	+17.4790547	156.04	  -9.21	19.46	22.17	24.69	38.09	 0.07	 0.59	 9.665	 0.018	 9.043	 0.019	 8.843	 0.020
042.085260	+23.871962	      22	042.0852600	+23.8719625	184.91	 -26.04	23.50	19.21	25.32	37.67	 0.26	 0.32	10.847	 0.021	10.260	 0.022	 9.965	 0.018
043.558807	+42.588785	      25	043.5588067	+42.5887850	201.96	 -82.13	26.37	25.09	22.91	39.18	-0.83	 1.26	 5.882	 0.027	 5.682	 0.040	 5.572	 0.026
044.171895	+35.376271	      26	044.1718950	+35.3762711	196.63	 -62.94	25.75	21.63	24.81	38.01	-0.38	 0.46	 9.817	 0.022	 9.205	 0.022	 8.955	 0.018
044.444469	+29.661459	      27	044.4444692	+29.6614594	187.28	 -46.88	24.58	19.23	25.95	37.24	-0.26	 0.92	 7.383	 0.026	 6.997	 0.021	 6.905	 0.023
044.521759	+20.668737	      28	044.5217592	+20.6687375	235.57	 -30.09	30.89	20.20	27.05	36.45	 0.02	 1.45	 5.308	 0.198	 4.815	 0.036	 4.778	 0.020
