#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-05-03T17:16:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5728dbdc0e7e 
#INFO -out.max=1000 
#INFO queryParameters=22 
#-oc.form=sexa
#-out.max=1000
#-nav=cat:J/A+A/559/A43&tab:{J/A+A/559/A43/table6}&key:source=J/A+A/559/A43&HTTPPRM:&&-ref=VIZ5728dbdc0e7e&Clear= Clear&-c.r=  2&-order=I&-out.src=J/A+A/559/A43/table6&-out=rc&-out=RV&-out=Vpar&-out=Vperp&-out=M&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Kmag&-out=e_Kmag&-out=W1mag&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-oc.form=sexa&-c.geom=r&-out.max=1000&-out.form=ascii text/plain&undefined=CDS, France&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/559/A43/table6
#-order=I
#-out=rc
#-out=RV
#-out=Vpar
#-out=Vperp
#-out=M
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#XV=XV
#Sloan=Sloan
#
#
#RESOURCE=yCat_35590043
#Name: J/A+A/559/A43
#Title: Pan-STARRS1 (PS1) observations of the Hyades (Goldman+, 2013)
#Coosys J2000_2000.000: eq_FK5 J2000    
#Table J_A_A_559_A43_table6:
#Name: J/A+A/559/A43/table6
#Title: Photometric and kinematic parameters for 773 Hyades member candidates
#---Details of Columns:
#    rc (pc)      (F5.2)  [0/30] Distance from the cluster centre [ucd=phys.size.radius]
#    RV (km/s)    (F5.2)  [16/46] Predicted radial velocity [ucd=phys.veloc;pos.heliocentric]
#    Vpar (km/s)  (F5.2)  [5/43] Tangential velocity in direction of the convergent point [ucd=phys.veloc.transverse]
#    Vperp (km/s) (F5.2)  [-5/4] Tangential velocity in direction perpendicular to the convergent point [ucd=phys.veloc.transverse]
#    M (Msun)     (F5.2)  [0.09/2.6] Mass of the star [ucd=phys.mass]
#    Jmag (mag)   (F6.3)  2MASS J band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.J]
#    e_Jmag (mag) (F6.3)  Error of Jmag [ucd=stat.error;phot.mag;em.IR.J]
#    Hmag (mag)   (F6.3)  2MASS H band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.H]
#    e_Hmag (mag) (F6.3)  Error of Hmag [ucd=stat.error;phot.mag;em.IR.H]
#    Kmag (mag)   (F6.3)  2MASS Ks band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.K]
#    e_Kmag (mag) (F6.3)  Error of Kmag [ucd=stat.error;phot.mag;em.IR.K]
#----- ----- ----- ----- ----- ------ ------ ------ ------ ------ ------
#            V     Vp                                                   
#rc    RV (  par ( erp ( M (   Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag
#(pc)  km/s) km/s) km/s) Msun) (mag)  (mag)  (mag)  (mag)  (mag)  (mag) 
#----- ----- ----- ----- ----- ------ ------ ------ ------ ------ ------
# rc    RV   Vpar  Vperp Mass  Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag
28.32 16.57 42.26 -0.33  0.59  9.300  0.020  8.674  0.033  8.405  0.023
28.42 16.79 42.17  1.23  0.18 11.917  0.023 11.305  0.032 11.029  0.021
28.67 17.02 42.08  0.13  0.38 10.081  0.028  9.477  0.034  9.257  0.020
29.31 18.33 41.52  0.86  0.13 11.661  0.023 11.033  0.024 10.714  0.018
25.64 19.65 40.92 -0.11  0.18 11.405  0.021 10.839  0.022 10.528  0.018
26.15 19.66 40.91  0.36  1.09  6.117  0.023  5.851  0.018  5.786  0.020
26.59 19.38 41.04  0.01  0.15 12.443  0.023 11.879  0.022 11.613  0.021
29.14 19.16 41.15 -1.29  0.17 11.693  0.024 11.099  0.022 10.801  0.023
27.57 20.01 40.74 -0.92  0.43 10.281  0.027  9.729  0.026  9.465  0.023
27.73 20.14 40.68 -2.22  0.50  9.786  0.027  9.210  0.023  8.948  0.021
26.44 19.67 40.90  0.21  0.64  8.992  0.024  8.309  0.044  8.145  0.026
27.47 20.28 40.61 -0.78  0.38  9.712  0.022  9.103  0.023  8.842  0.016
22.94 21.81 39.80 -0.17  0.22 11.384  0.020 10.798  0.022 10.545  0.019
24.57 22.28 39.54  2.54  0.28 11.392  0.021 10.774  0.022 10.527  0.018
24.88 22.34 39.51  1.88  0.88  8.071  0.065  7.687  0.034  7.558  0.017
24.20 22.47 39.44 -0.65  0.48 10.321  0.026  9.747  0.024  9.413  0.018
27.34 20.90 40.29 -0.88  0.26 11.373  0.020 10.797  0.020 10.522  0.016
23.67 22.48 39.43 -0.80  0.21 11.621  0.020 11.023  0.024 10.728  0.020
26.89 21.97 39.72  0.17  0.23 11.752  0.018 11.165  0.017 10.914  0.018
22.17 24.69 38.09  0.07  0.59  9.665  0.018  9.043  0.019  8.843  0.020
19.21 25.32 37.67  0.26  0.32 10.847  0.021 10.260  0.022  9.965  0.018
29.36 24.57 38.17 -2.80  0.38 11.320  0.021 10.722  0.024 10.470  0.018
26.77 24.91 37.95  3.65  0.72  8.433  0.029  7.951  0.000  7.629  0.000
25.09 22.91 39.18 -0.83  1.26  5.882  0.027  5.682  0.040  5.572  0.026
21.63 24.81 38.01 -0.38  0.46  9.817  0.022  9.205  0.022  8.955  0.018
19.23 25.95 37.24 -0.26  0.92  7.383  0.026  6.997  0.021  6.905  0.023
20.20 27.05 36.45  0.02  1.45  5.308  0.198  4.815  0.036  4.778  0.020
25.45 26.92 36.55 -0.81  0.27 12.062  0.022 11.437  0.021 11.144  0.018
23.93 24.44 38.25 -1.10  0.31 10.411  0.020  9.779  0.015  9.517  0.020
26.73 27.71 35.95  0.63  0.88  6.323  0.020  5.951  0.042  5.841  0.024
22.14 25.00 37.88 -1.17  0.26 11.306  0.020 10.701  0.019 10.430  0.018
21.05 27.25 36.30  0.84  0.16 11.609  0.022 11.018  0.022 10.686  0.021
19.02 27.55 36.07 -3.84  0.39 10.835  0.022 10.247  0.022 10.018  0.018
17.21 27.44 36.16  3.29  0.16 12.202  0.021 11.648  0.024 11.311  0.020
19.35 28.68 35.18  0.31  0.19 11.288  0.020 10.683  0.020 10.425  0.014
17.37 28.52 35.31 -0.98  0.25 10.925  0.022 10.355  0.023 10.066  0.020
20.25 28.85 35.04  0.49  0.20 12.329  0.021 11.809  0.032 11.481  0.018
15.38 29.31 34.66 -0.07  0.51  9.973  0.023  9.331  0.028  9.087  0.023
